county,beds,population
1,54,638425
2,121,536136
3,78,339384
4,16,162565
5,31,141107
6,448,1083704
7,52,325157
8,48,275371
9,22,153067
10,68,308910
11,67,368025
12,46,278697
13,928,2019717
14,269,693679
15,44,145969
16,68,353288
17,119,642191
18,72,307110
19,71,241535
21,254,154303
22,89,176152
23,28,533213
24,71,598953
25,270,119502
26,100,414789
27,48,538549
28,84,508006
29,230,602825
2A,38,433929
2B,23,908249
30,183,742006
31,641,1348183
32,20,190664
33,576,1566679
34,502,1132481
35,298,1051779
36,41,223505
37,260,606223
38,252,1252912
39,27,260517
40,55,405010
41,55,332769
42,228,761997
43,31,227339
44,366,1380852
45,245,674330
46,22,173347
47,65,332833
48,6,76422
49,241,810934
50,88,498362
51,162,570883
52,44,178084
53,30,307688
54,354,733821
55,30,189055
56,120,747548
57,235,1045271
58,52,209161
59,943,2603723
60,127,823542
61,49,285308
62,371,1470725
63,220,650700
64,173,673986
65,71,227829
66,103,474369
67,457,1121407
68,250,762743
69,695,1835903
70,49,237242
71,113,555023
72,101,567561
73,86,429681
74,158,801416
75,1349,2190327
76,441,1255755
77,261,1397665
78,300,1431808
79,50,374743
80,239,572744
81,102,386448
82,55,256897
83,221,1055821
84,133,559014
85,110,670597
86,163,436069
87,213,374978
88,59,369641
89,69,340544
90,59,144089
91,315,1287330
92,671,1603268
93,350,1606660
94,511,1378151
95,194,1221923
971,83,394110
972,77,376480
973,23,269352
974,208,852924
976,18,240987